bootstraps,time,original,computed,difference
2,1621075.5790000013,3.8602723662557445,3.1860115849560007,0.17466663419756062
102,5.0238946819E7,3.8602723662557445,3.8421308926586057,0.004699532021553974
202,9.8881911822E7,3.8602723662557445,3.8569215590839185,8.680235107545302E-4
302,1.4722216174599987E8,3.8602723662557445,3.861840724553961,4.062817722206188E-4
402,1.9573224408199993E8,3.8602723662557445,3.860618134199321,8.957086722663646E-5
502,2.4400588067299956E8,3.8602723662557445,3.857068724423831,8.299004650339793E-4
602,2.922522078379998E8,3.8602723662557445,3.8571774071453815,8.017463061460099E-4
702,3.404677875750001E8,3.8602723662557445,3.857185012403934,7.997761709246764E-4
802,3.885899093120001E8,3.8602723662557445,3.856963611579919,8.571298504086614E-4
902,4.36813740451E8,3.8602723662557445,3.8564787955475714,9.827209969260947E-4
1002,4.8491937378400034E8,3.8602723662557445,3.8584475570902423,4.727151331221149E-4
1102,5.3302110066200066E8,3.8602723662557445,3.856635651916697,9.420874990163144E-4
1202,5.811217390470005E8,3.8602723662557445,3.856297126272013,0.0010297822553871718
1302,6.292695303440002E8,3.8602723662557445,3.8568670193569554,8.821519767767403E-4
1402,6.773674053719999E8,3.8602723662557445,3.8561839912485603,0.0010590897789810071
1502,7.254090639070003E8,3.8602723662557445,3.8566885500609898,9.283842834724363E-4
1602,7.735164510830005E8,3.8602723662557445,3.8574574392566663,7.292042457119643E-4
1702,8.215483591270007E8,3.8602723662557445,3.8578380446636684,6.306087656807718E-4
1802,8.696086440209994E8,3.8602723662557445,3.8576320533677055,6.839706211196621E-4
1902,9.176209722630007E8,3.8602723662557445,3.8576907887736835,6.687552683141356E-4
2002,9.657459314540001E8,3.8602723662557445,3.857305609956045,7.685354861571986E-4
2102,1.013837268581E9,3.8602723662557445,3.8576601536636086,6.766912653548482E-4
2202,1.0619042418890008E9,3.8602723662557445,3.8588678122329263,3.6384842559194624E-4
2302,1.1100577514390025E9,3.8602723662557445,3.858877905746264,3.6123371026102423E-4
2402,1.1581407379569988E9,3.8602723662557445,3.8587767568349767,3.874362425412314E-4
2502,1.2062183059710016E9,3.8602723662557445,3.8592448331764055,2.6618149753398265E-4
2602,1.2542413996269994E9,3.8602723662557445,3.8593075270129287,2.4994071694265334E-4
2702,1.3022851771020012E9,3.8602723662557445,3.8594892020492435,2.028779661629597E-4
2802,1.3504032783270009E9,3.8602723662557445,3.859415807244297,2.2189082276553455E-4
2902,1.3984938388280017E9,3.8602723662557445,3.8593960130580753,2.270184884698242E-4
3002,1.4465962340859988E9,3.8602723662557445,3.8591229309247974,2.977601635042206E-4
3102,1.4947935428059995E9,3.8602723662557445,3.858641939759772,4.223604816656402E-4
3202,1.5429310651520023E9,3.8602723662557445,3.8588604544000966,3.657544654076851E-4
3302,1.5910205858919985E9,3.8602723662557445,3.8593508087114174,2.3872863282467337E-4
3402,1.639125518062002E9,3.8602723662557445,3.859603893706263,1.7316719807774033E-4
3502,1.6872618628469985E9,3.8602723662557445,3.8598662341163075,1.0520815655062254E-4
3602,1.7353685323440015E9,3.8602723662557445,3.8600983186334017,4.5086876217408256E-5
3702,1.7834400882529998E9,3.8602723662557445,3.859790291926305,1.2488091090498613E-4
3802,1.8315496952330003E9,3.8602723662557445,3.859597999832296,1.746940006988768E-4
3902,1.8796810448110008E9,3.8602723662557445,3.859722108325775,1.425438098045796E-4
4002,1.9278013306220012E9,3.8602723662557445,3.860151176403727,3.139411951267256E-5
4102,1.9760130087189994E9,3.8602723662557445,3.8599363977454364,8.703233306670021E-5
4202,2.0241993634059978E9,3.8602723662557445,3.8602812857160145,2.310577965404238E-6
