Samples,Error
10,3460183.921077603
20,3505584.7175392252
30,3685744.64560582
40,4028171.6420726622
50,4051060.0430068835
60,4483277.727029286
70,4426594.886635173
80,4494181.242603423
90,4652832.177227518
100,4650862.3307733415
110,4766447.297903912
120,4439542.020720722
130,4514931.482344448
140,4682272.121363322
150,4914865.401731806
160,4619166.945236518
170,4471664.456222923
180,4684164.783886569
190,4461129.79184525
200,4671077.752064861
210,4732476.055664932
220,4301747.5142556885
230,4598905.165427401
240,4184040.513726339
250,4662300.03329468
260,4580106.816859397
270,4872358.76661371
280,4575459.878635609
290,4179845.03007233
300,4640284.2557096295
310,4313765.040945735
320,4156045.597332089
330,4085753.0139439437
340,4265348.745609899
350,4256222.467483846
360,4354604.657126243
370,4367984.214985525
380,4193838.1586363716
390,4092123.7719642953
400,3986607.5213160096
410,3741778.2333773673
420,4080266.5371870147
430,4068085.837679375
440,3658381.5935273496
450,4065282.7689887322
460,3461725.80177243
470,3930563.9802568755
480,3870513.4204878905
490,3588015.8315136507
500,3704130.803742882
510,4063468.4386710357
520,3913945.148345007
530,3652256.285702019
540,4081619.138974355
550,3595980.3980925493
560,3639607.8168240692
570,3684948.7307320163
580,3584042.6937371506
590,3531907.6926196693
600,3403002.5650333613
610,3507123.7788627627
620,3523657.820346063
630,3600181.791493344
640,3355184.2750854837
650,3616321.073676164
660,3410434.8609039597
670,3571850.614335361
680,3579687.8105452345
690,3373072.8380514737
700,3191566.632553395
710,3376594.6524619567
720,3515157.021043721
730,3324799.3261591126
740,3328174.0377073013
750,3272632.3569799494
760,3295980.8171684816
770,3384661.557199067
780,3214936.5378786596
790,3210926.6042483994
800,3010766.024816651
810,3017666.758264149
820,3029840.7542958003
830,3197493.6182205975
840,3168739.733606132
850,3042774.684510125
860,2923033.598689281
870,3121012.528406073
880,3071581.4924361445
890,2928466.6746947784
900,3154076.921075466
910,2980410.348087273
920,3053978.7866192893
930,2985149.6520134215
940,2945881.9857234145
950,2728083.473895463
960,2711895.774484984
970,2923600.1532106977
980,3008901.45613754
990,2895306.9655846884
1000,3040534.729146287
1010,2782717.1993745957
1020,2718039.9356381013
1030,2786594.134968811
1040,2929316.8141371366
1050,2880500.738165948
1060,2939272.7887695157
1070,2583587.9472099445
1080,2836497.547747617
1090,2714766.636891367
1100,2864229.3779668733
1110,2816662.602582673
1120,2543625.1980428104
1130,2721484.1577690155
1140,2854313.1125300233
1150,2781640.555259481
1160,2805944.123603241
1170,2436004.798956879
1180,2403985.969067924
1190,2445199.4742616825
1200,2478618.9895128817
1210,2564708.192059854
1220,2411322.7084326823
1230,2445087.693844847
1240,2680460.6133458545
1250,2544109.5744724586
1260,2637230.7323551346
1270,2521490.191682226
1280,2583031.8414168926
1290,2503478.617972319
1300,2357552.2421470904
1310,2455124.648073389
1320,2395472.640470533
1330,2668719.857578137
1340,2437436.374242408
1350,2265257.8739760267
1360,2390976.3656204254
1370,2330589.9466859396
1380,2372202.1085816203
1390,2463679.821150193
1400,2188374.553506623
1410,2564374.0182938795
1420,2217403.108885453
1430,2591339.435337424
1440,2327871.2598814224
1450,2336053.888599066
1460,2253100.0260085776
1470,2184727.3091633944
1480,2096888.4339076676
1490,2323578.3081501382
1500,2317862.8235887857
1510,2388802.5377853527
1520,2157092.390670556
1530,2080183.9509594063
1540,2258423.282434958
1550,2196678.3079674444
1560,2257062.0272959587
1570,2226081.3500437574
1580,2065201.8668126806
1590,2032748.9550250745
1600,2065767.2542204596
